bin,ts,yes_price,volume,real_cum_trades,frac,slug,cum_trades,trade_progress,config,market_title,truth
51,2025-09-27 23:12:05+00:00,0.1,9.0,74,0.6455696202531646,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,45.18987341772152,0.6455696202531646,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
52,2025-09-28 01:56:09+00:00,0.07,6.300000000000001,75,0.6582278481012658,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,46.075949367088604,0.6582278481012658,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
53,2025-09-28 20:43:35+00:00,0.06999999999999998,18.62699999999999,77,0.6708860759493671,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,46.962025316455694,0.6708860759493671,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
54,2025-09-29 22:55:27+00:00,0.04856548856548859,23.360000000000014,78,0.6835443037974683,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,47.848101265822784,0.6835443037974683,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
55,2025-09-29 23:26:25+00:00,0.040000000000000036,8.000000000000007,80,0.6962025316455697,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,48.734177215189874,0.6962025316455697,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
56,2025-09-30 01:12:43+00:00,0.04,4.04,81,0.7088607594936709,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,49.620253164556964,0.7088607594936709,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
57,2025-10-01 02:34:01+00:00,0.018,4.5,82,0.7215189873417721,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,50.506329113924046,0.7215189873417721,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
58,2025-10-01 21:19:05+00:00,0.021976829227545798,25.734790000000004,84,0.7341772151898734,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,51.39240506329114,0.7341772151898734,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
59,2025-10-01 21:22:23+00:00,0.010978583771819117,5.6543,85,0.7468354430379747,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,52.278481012658226,0.7468354430379747,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
60,2025-10-04 06:53:45+00:00,0.015000042377060976,1.0554549999999998,87,0.759493670886076,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,53.16455696202532,0.759493670886076,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
61,2025-10-08 09:19:38+00:00,0.02420717101299042,9.999998999999999,88,0.7721518987341772,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,54.050632911392405,0.7721518987341772,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
62,2025-10-10 20:38:04+00:00,0.010352514956791459,9.344179999999971,89,0.7848101265822784,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,54.93670886075949,0.7848101265822784,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
63,2025-10-11 01:45:50+00:00,0.011228128419134628,5.297809,91,0.7974683544303798,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,55.822784810126585,0.7974683544303798,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
64,2025-10-11 02:05:44+00:00,0.0140000000056,5.0,92,0.810126582278481,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,56.70886075949367,0.810126582278481,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
65,2025-10-11 18:29:40+00:00,0.011673502360262798,2.0999890000000003,94,0.8227848101265823,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,57.594936708860764,0.8227848101265823,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
66,2025-10-11 21:28:21+00:00,0.02683896624546953,5.0,95,0.8354430379746836,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,58.48101265822785,0.8354430379746836,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
67,2025-10-12 07:22:35+00:00,0.009615355027309813,1.7906000000000046,97,0.8481012658227848,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,59.36708860759494,0.8481012658227848,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
68,2025-10-12 07:45:51+00:00,0.02200000000000002,0.03366000000000003,98,0.8607594936708861,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,60.25316455696203,0.8607594936708861,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
69,2025-10-13 02:42:35+00:00,0.024809378962810286,3.94,99,0.8734177215189873,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,61.139240506329116,0.8734177215189873,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
70,2025-10-13 11:32:37+00:00,0.021007310578552423,3.4186199999999998,101,0.8860759493670886,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,62.0253164556962,0.8860759493670886,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
71,2025-10-13 14:18:17+00:00,0.008,1.27048,102,0.8987341772151899,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,62.91139240506329,0.8987341772151899,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
72,2025-10-13 17:06:55+00:00,0.020734360073160575,4.99,104,0.9113924050632911,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,63.79746835443038,0.9113924050632911,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
73,2025-10-13 17:55:57+00:00,0.009000000000000008,0.04500000000000004,105,0.9240506329113924,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,64.68354430379748,0.9240506329113924,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
74,2025-10-13 19:14:35+00:00,0.009000000000000008,0.9735300000000009,106,0.9367088607594937,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,65.56962025316456,0.9367088607594937,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
75,2025-10-13 21:32:07+00:00,0.01595617535554992,7.150000000000002,108,0.9493670886075949,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,66.45569620253164,0.9493670886075949,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
76,2025-10-13 22:50:25+00:00,0.009,0.05436,109,0.9620253164556962,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,67.34177215189874,0.9620253164556962,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
77,2025-10-13 23:24:13+00:00,0.0010900270638430354,25.325530000001102,111,0.9746835443037974,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,68.22784810126582,0.9746835443037974,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
78,2025-10-13 23:24:21+00:00,0.0010000000000000009,0.02400000000000002,112,0.9873417721518988,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,69.11392405063292,0.9873417721518988,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
79,2025-10-14 00:13:17+00:00,0.0010000000000000005,2.196760000000001,114,1.0,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster,70.0,1.0,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0
