tick,active_actions,cancel_actions,fills,cum_trades,cum_active_actions,cum_cancel_actions,execution_rate,cancel_per_trade,series,config,market,market_title,experiment
66,12.0,3.0,2.0,220.0,727.0,368.0,0.30261348005502064,1.6727272727272726,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
67,11.0,4.0,4.0,224.0,738.0,372.0,0.3035230352303523,1.6607142857142858,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
68,9.0,6.0,5.0,229.0,747.0,378.0,0.30655957161981257,1.6506550218340612,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
69,15.0,1.0,1.0,230.0,762.0,379.0,0.30183727034120733,1.6478260869565218,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
70,11.0,7.0,6.0,236.0,773.0,386.0,0.3053040103492885,1.6355932203389831,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
71,13.0,2.0,2.0,238.0,786.0,388.0,0.30279898218829515,1.6302521008403361,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
72,10.0,6.0,1.0,239.0,796.0,394.0,0.30025125628140703,1.6485355648535565,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
73,10.0,7.0,3.0,242.0,806.0,401.0,0.3002481389578164,1.6570247933884297,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
75,11.0,4.0,0.0,244.0,828.0,410.0,0.2946859903381642,1.680327868852459,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
76,9.0,9.0,1.0,245.0,837.0,419.0,0.2927120669056153,1.7102040816326531,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
77,15.0,2.0,5.0,250.0,852.0,421.0,0.2934272300469484,1.684,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
78,10.0,6.0,4.0,254.0,862.0,427.0,0.29466357308584684,1.6811023622047243,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
80,5.0,6.0,0.0,258.0,880.0,434.0,0.29318181818181815,1.682170542635659,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
81,8.0,4.0,1.0,259.0,888.0,438.0,0.2916666666666667,1.691119691119691,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
82,13.0,4.0,8.0,267.0,901.0,442.0,0.29633740288568255,1.655430711610487,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
83,12.0,3.0,2.0,269.0,913.0,445.0,0.2946330777656079,1.654275092936803,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
84,13.0,4.0,4.0,273.0,926.0,449.0,0.29481641468682507,1.6446886446886446,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
85,16.0,3.0,6.0,279.0,942.0,452.0,0.2961783439490446,1.6200716845878136,100轮,c3_robotaxi_t100_s0,robotaxi,特斯拉 Robotaxi,tick_horizon
