series,config,market,tick,frac,yes_mid,truth,cum_trades,trade_progress
n=50,c1_ethereum_n50_s0,ethereum,10,0.5263157894736842,0.5650000000000001,0.0,92.0,0.4816753926701571
n=50,c1_ethereum_n50_s0,ethereum,11,0.5789473684210527,0.55,0.0,105.0,0.5497382198952879
n=50,c1_ethereum_n50_s0,ethereum,12,0.631578947368421,0.545,0.0,119.0,0.6230366492146597
n=50,c1_ethereum_n50_s0,ethereum,13,0.6842105263157895,0.545,0.0,133.0,0.6963350785340314
n=50,c1_ethereum_n50_s0,ethereum,14,0.7368421052631579,0.535,0.0,153.0,0.8010471204188482
n=50,c1_ethereum_n50_s0,ethereum,15,0.7894736842105263,0.52,0.0,166.0,0.8691099476439791
n=50,c1_ethereum_n50_s0,ethereum,16,0.8421052631578947,0.52,0.0,173.0,0.9057591623036649
n=50,c1_ethereum_n50_s0,ethereum,17,0.8947368421052632,0.52,0.0,178.0,0.9319371727748691
n=50,c1_ethereum_n50_s0,ethereum,18,0.9473684210526315,0.52,0.0,181.0,0.9476439790575916
n=50,c1_ethereum_n50_s0,ethereum,19,1.0,0.24,0.0,191.0,1.0
n=100,c1_ethereum_n100_s0,ethereum,0,0.0,0.595,0.0,0.0,0.0
n=100,c1_ethereum_n100_s0,ethereum,0,0.0,0.595,0.0,10.0,0.02207505518763797
n=100,c1_ethereum_n100_s0,ethereum,1,0.05263157894736842,0.585,0.0,15.0,0.033112582781456956
n=100,c1_ethereum_n100_s0,ethereum,2,0.10526315789473684,0.585,0.0,18.0,0.039735099337748346
n=100,c1_ethereum_n100_s0,ethereum,3,0.15789473684210525,0.585,0.0,48.0,0.10596026490066225
n=100,c1_ethereum_n100_s0,ethereum,4,0.21052631578947367,0.585,0.0,77.0,0.16997792494481237
n=100,c1_ethereum_n100_s0,ethereum,5,0.2631578947368421,0.585,0.0,88.0,0.19426048565121412
n=100,c1_ethereum_n100_s0,ethereum,6,0.3157894736842105,0.585,0.0,115.0,0.25386313465783666
n=100,c1_ethereum_n100_s0,ethereum,7,0.3684210526315789,0.59,0.0,140.0,0.3090507726269316
n=100,c1_ethereum_n100_s0,ethereum,8,0.42105263157894735,0.59,0.0,170.0,0.37527593818984545
