市场,智能体数量,tick,累积成交笔数,平均信念,模拟市场价格,差距
特斯拉 Robotaxi,20,15,36.0,0.3035,0.41850000000000004,-0.11500000000000005
特斯拉 Robotaxi,20,16,38.0,0.2765,0.395,-0.1185
特斯拉 Robotaxi,20,17,39.0,0.236,0.3905,-0.15450000000000003
特斯拉 Robotaxi,20,18,43.0,0.20800000000000002,0.39,-0.182
特斯拉 Robotaxi,20,19,47.0,0.191,0.39,-0.199
特斯拉 Robotaxi,50,0,3.0,0.385,0.4697,-0.0847
特斯拉 Robotaxi,50,1,11.0,0.37560000000000004,0.5049,-0.12929999999999997
特斯拉 Robotaxi,50,2,17.0,0.37795918367346937,0.4810204081632653,-0.10306122448979593
特斯拉 Robotaxi,50,3,29.0,0.3726,0.47,-0.09739999999999999
特斯拉 Robotaxi,50,4,46.0,0.354,0.4736,-0.11960000000000004
特斯拉 Robotaxi,50,5,52.0,0.33880000000000005,0.5,-0.16119999999999995
特斯拉 Robotaxi,50,6,65.0,0.3454,0.4882,-0.14280000000000004
特斯拉 Robotaxi,50,7,79.0,0.3436,0.4966,-0.15299999999999997
特斯拉 Robotaxi,50,8,96.0,0.3284,0.4966,-0.16819999999999996
特斯拉 Robotaxi,50,9,106.0,0.3358,0.542,-0.20620000000000005
特斯拉 Robotaxi,50,10,122.0,0.335,0.5247999999999999,-0.1897999999999999
特斯拉 Robotaxi,50,11,138.0,0.33340000000000003,0.46549999999999997,-0.13209999999999994
特斯拉 Robotaxi,50,12,146.0,0.31579999999999997,0.4071,-0.09130000000000005
特斯拉 Robotaxi,50,13,157.0,0.25920000000000004,0.3618,-0.10259999999999997
特斯拉 Robotaxi,50,14,161.0,0.2348,0.3779,-0.1431
特斯拉 Robotaxi,50,15,172.0,0.2346,0.3527,-0.11810000000000001
特斯拉 Robotaxi,50,16,186.0,0.2234,0.33240000000000003,-0.10900000000000004
特斯拉 Robotaxi,50,17,201.0,0.2004,0.3143,-0.11390000000000003
特斯拉 Robotaxi,50,18,214.0,0.1784,0.2364,-0.057999999999999996
特斯拉 Robotaxi,50,19,229.0,0.13699999999999998,0.1466,-0.009600000000000025
特斯拉 Robotaxi,100,0,8.0,0.3851,0.493,-0.1079
特斯拉 Robotaxi,100,1,16.0,0.3823,0.4795,-0.09720000000000001
特斯拉 Robotaxi,100,2,21.0,0.3801,0.475,-0.09489999999999998
特斯拉 Robotaxi,100,3,36.0,0.3677,0.475,-0.10729999999999995
特斯拉 Robotaxi,100,4,45.0,0.3503,0.475,-0.12469999999999998
特斯拉 Robotaxi,100,5,65.0,0.343030303030303,0.475,-0.13196969696969696
特斯拉 Robotaxi,100,6,81.0,0.334949494949495,0.46893939393939393,-0.13398989898989894
特斯拉 Robotaxi,100,7,101.0,0.32792929292929296,0.46601010101010104,-0.13808080808080808
特斯拉 Robotaxi,100,8,118.0,0.3123469387755102,0.43872448979591844,-0.12637755102040826
特斯拉 Robotaxi,100,9,138.0,0.291010101010101,0.42368686868686867,-0.13267676767676767
特斯拉 Robotaxi,100,10,157.0,0.27631313131313134,0.41520202020202024,-0.1388888888888889
特斯拉 Robotaxi,100,11,167.0,0.2493,0.39594999999999997,-0.14664999999999997
特斯拉 Robotaxi,100,12,186.0,0.2281,0.38270000000000004,-0.15460000000000004
特斯拉 Robotaxi,100,13,200.0,0.20459595959595958,0.36,-0.1554040404040404
特斯拉 Robotaxi,100,14,214.0,0.1681,0.1895,-0.021400000000000002
特斯拉 Robotaxi,100,15,233.0,0.15520408163265306,0.23183673469387753,-0.07663265306122446
特斯拉 Robotaxi,100,16,265.0,0.1802,0.2504,-0.07020000000000001
特斯拉 Robotaxi,100,17,292.0,0.18747474747474746,0.2337878787878788,-0.046313131313131334
特斯拉 Robotaxi,100,18,319.0,0.1795,0.245,-0.0655
特斯拉 Robotaxi,100,19,353.0,0.1931,0.245,-0.0519
