市场,config,tick,累积成交笔数,平均信念,模拟市场价格,差距,真实结局
2025年底比特币高于10万美元,rq1_m06_s0,5,11.0,0.49749999999999994,0.58125,-0.0837500000000001,
2025年底比特币高于10万美元,rq1_m06_s0,6,11.0,0.49799999999999994,0.59025,-0.09225000000000011,
2025年底比特币高于10万美元,rq1_m06_s0,7,12.0,0.505,0.5985,-0.09350000000000003,
2025年底比特币高于10万美元,rq1_m06_s0,8,19.0,0.5015000000000001,0.597,-0.09549999999999992,
2025年底比特币高于10万美元,rq1_m06_s0,9,22.0,0.5085,0.59775,-0.08925000000000005,
2025年底比特币高于10万美元,rq1_m06_s0,10,26.0,0.507,0.60375,-0.09675,
2025年底比特币高于10万美元,rq1_m06_s0,11,28.0,0.511,0.605,-0.09399999999999997,
2025年底比特币高于10万美元,rq1_m06_s0,12,30.0,0.513,0.605,-0.09199999999999997,
2025年底比特币高于10万美元,rq1_m06_s0,13,34.0,0.518,0.605,-0.08699999999999997,
2025年底比特币高于10万美元,rq1_m06_s0,14,38.0,0.5145000000000001,0.605,-0.09049999999999991,
2025年底比特币高于10万美元,rq1_m06_s0,15,41.0,0.5155000000000001,0.603,-0.08749999999999991,
2025年底比特币高于10万美元,rq1_m06_s0,16,42.0,0.4995,0.605,-0.10549999999999998,
2025年底比特币高于10万美元,rq1_m06_s0,17,46.0,0.4805,0.605,-0.1245,
2025年底比特币高于10万美元,rq1_m06_s0,18,49.0,0.47000000000000003,0.57975,-0.10974999999999996,
2025年底比特币高于10万美元,rq1_m06_s0,19,58.0,0.4545,0.52475,-0.07025000000000003,
MicroStrategy继续购买比特币,rq1_m07_s0,0,1.0,0.7615000000000001,0.858,-0.09649999999999992,
MicroStrategy继续购买比特币,rq1_m07_s0,1,1.0,0.7515,0.8480000000000001,-0.09650000000000014,
MicroStrategy继续购买比特币,rq1_m07_s0,2,7.0,0.742,0.843,-0.10099999999999998,
MicroStrategy继续购买比特币,rq1_m07_s0,3,9.0,0.7215,0.845,-0.12349999999999994,
MicroStrategy继续购买比特币,rq1_m07_s0,4,11.0,0.7224999999999999,0.845,-0.12250000000000005,
