series,config,market_title,cum_trades,trade_progress,yes_price,truth,tick,ts,volume,slug,real_cum_trades,market,frac,yes_mid,module
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,5.670886075949367,0.10126582278481013,0.36510877333529007,1.0,,2025-09-01 09:10:42+00:00,3585.4858750000003,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,280.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,6.379746835443038,0.11392405063291139,0.3757729178204565,1.0,,2025-09-02 05:56:19+00:00,3612.414171,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,312.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,7.088607594936709,0.12658227848101267,0.32576753915469986,1.0,,2025-09-03 15:19:26+00:00,5175.853915000001,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,343.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,7.7974683544303796,0.13924050632911392,0.2644629005911464,1.0,,2025-09-04 06:04:16+00:00,3481.259449,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,374.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,8.506329113924052,0.1518987341772152,0.36094459364165443,1.0,,2025-09-04 07:54:46+00:00,6317.849196,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,405.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,9.215189873417721,0.16455696202531644,0.5764832908122677,1.0,,2025-09-04 10:24:00+00:00,6946.629078,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,436.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,9.924050632911392,0.17721518987341772,0.6444481238272617,1.0,,2025-09-04 12:46:56+00:00,12733.898501,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,467.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,10.632911392405063,0.189873417721519,0.6525050316657829,1.0,,2025-09-04 13:51:44+00:00,5865.582812,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,498.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,11.341772151898734,0.20253164556962025,0.6354819206421669,1.0,,2025-09-04 15:34:34+00:00,11305.378587000001,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,529.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,12.050632911392405,0.21518987341772153,0.6195687486543527,1.0,,2025-09-04 17:38:38+00:00,14804.695461,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,560.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,12.759493670886076,0.22784810126582278,0.6702091498435249,1.0,,2025-09-04 18:22:32+00:00,1992.6847149999999,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,591.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,13.468354430379748,0.24050632911392406,0.6901758826233876,1.0,,2025-09-04 19:25:18+00:00,2580.2919039999997,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,623.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,14.177215189873419,0.25316455696202533,0.6434727611235189,1.0,,2025-09-04 21:57:42+00:00,7005.217551,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,654.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,14.886075949367086,0.26582278481012656,0.6892189706675016,1.0,,2025-09-04 23:31:27+00:00,9895.632547,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,685.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,15.594936708860759,0.27848101265822783,0.7589063506812178,1.0,,2025-09-05 01:30:34+00:00,9005.032616,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,716.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,16.303797468354432,0.2911392405063291,0.7404735488865638,1.0,,2025-09-05 05:23:10+00:00,10445.780775,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,747.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,17.012658227848103,0.3037974683544304,0.8193644183290979,1.0,,2025-09-05 07:20:28+00:00,20639.512574,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,778.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,17.721518987341774,0.31645569620253167,0.791028273798628,1.0,,2025-09-05 09:10:38+00:00,2616.767861,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,809.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,18.430379746835442,0.3291139240506329,0.7797463467438321,1.0,,2025-09-05 12:45:36+00:00,16428.37683,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,840.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,19.139240506329113,0.34177215189873417,0.706222591986079,1.0,,2025-09-05 15:55:22+00:00,19863.203371,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,871.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,19.848101265822784,0.35443037974683544,0.6746715346699438,1.0,,2025-09-05 18:52:46+00:00,8906.443802,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,902.0,,,,
真实市场价格,c4_robotaxi_natural_s0,特斯拉 Robotaxi,20.556962025316455,0.3670886075949367,0.687925807220421,1.0,,2025-09-05 19:33:42+00:00,10031.476940999999,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,934.0,,,,
