市场,决策轮数,tick,累积成交笔数,平均信念,模拟市场价格,差距
以太坊 5000 美元,100,28,67.0,0.0875,0.093,-0.005500000000000005
以太坊 5000 美元,100,29,69.0,0.0785,0.08,-0.0015000000000000013
以太坊 5000 美元,100,30,72.0,0.0735,0.08349999999999999,-0.009999999999999995
以太坊 5000 美元,100,31,73.0,0.0735,0.095,-0.021500000000000005
以太坊 5000 美元,100,32,76.0,0.08,0.095,-0.015
以太坊 5000 美元,100,33,78.0,0.09075,0.095,-0.004250000000000004
以太坊 5000 美元,100,34,82.0,0.10500000000000001,0.09925,0.005750000000000005
以太坊 5000 美元,100,35,86.0,0.1065,0.1,0.006499999999999992
以太坊 5000 美元,100,36,90.0,0.11399999999999999,0.1,0.013999999999999985
以太坊 5000 美元,100,37,96.0,0.12,0.1,0.01999999999999999
以太坊 5000 美元,100,38,101.0,0.11750000000000001,0.149,-0.031499999999999986
以太坊 5000 美元,100,39,102.0,0.10900000000000001,0.59,-0.481
以太坊 5000 美元,100,40,104.0,0.1285,0.59,-0.46149999999999997
以太坊 5000 美元,100,41,108.0,0.17149999999999999,0.59,-0.4185
以太坊 5000 美元,100,42,117.0,0.17099999999999999,0.58,-0.409
以太坊 5000 美元,100,43,120.0,0.1835,0.58,-0.39649999999999996
以太坊 5000 美元,100,44,125.0,0.1836842105263158,0.30105263157894735,-0.11736842105263154
以太坊 5000 美元,100,45,130.0,0.162,0.382,-0.22
以太坊 5000 美元,100,46,136.0,0.14750000000000002,0.58,-0.43249999999999994
以太坊 5000 美元,100,47,137.0,0.1695,0.32975,-0.16024999999999998
以太坊 5000 美元,100,48,143.0,0.142,0.37525,-0.23324999999999999
以太坊 5000 美元,100,49,148.0,0.092,0.58,-0.488
以太坊 5000 美元,100,50,153.0,0.0865,0.21999999999999997,-0.13349999999999998
以太坊 5000 美元,100,51,157.0,0.079,0.093,-0.013999999999999999
以太坊 5000 美元,100,52,158.0,0.0645,0.08499999999999999,-0.02049999999999999
以太坊 5000 美元,100,53,162.0,0.05475,0.08225,-0.027500000000000004
以太坊 5000 美元,100,54,166.0,0.05275,0.08349999999999999,-0.030749999999999993
以太坊 5000 美元,100,55,170.0,0.0485,0.07375,-0.025249999999999995
以太坊 5000 美元,100,56,173.0,0.043,0.0605,-0.0175
以太坊 5000 美元,100,57,175.0,0.0375,0.042249999999999996,-0.004749999999999997
以太坊 5000 美元,100,58,176.0,0.033,0.0405,-0.0075
以太坊 5000 美元,100,59,181.0,0.02931578947368421,0.042105263157894736,-0.012789473684210524
以太坊 5000 美元,100,60,184.0,0.030449999999999998,0.04,-0.009550000000000003
以太坊 5000 美元,100,61,184.0,0.029842105263157892,0.04,-0.010157894736842109
以太坊 5000 美元,100,62,184.0,0.03135,0.04,-0.008649999999999998
以太坊 5000 美元,100,63,186.0,0.031157894736842103,0.04,-0.008842105263157898
以太坊 5000 美元,100,64,188.0,0.03175,0.04,-0.00825
以太坊 5000 美元,100,65,189.0,0.03236842105263158,0.04,-0.00763157894736842
以太坊 5000 美元,100,66,194.0,0.03075,0.04,-0.009250000000000001
以太坊 5000 美元,100,67,198.0,0.030789473684210523,0.37,-0.33921052631578946
以太坊 5000 美元,100,68,201.0,0.07675,0.61,-0.53325
以太坊 5000 美元,100,69,203.0,0.06699999999999999,0.088,-0.021000000000000005
以太坊 5000 美元,100,70,213.0,0.057499999999999996,0.0335,0.023999999999999994
以太坊 5000 美元,100,71,217.0,0.05449999999999999,0.034,0.02049999999999999
以太坊 5000 美元,100,72,220.0,0.05105263157894737,0.035,0.016052631578947367
以太坊 5000 美元,100,73,222.0,0.05275,0.035,0.017749999999999995
以太坊 5000 美元,100,74,226.0,0.055400000000000005,0.0385,0.016900000000000005
以太坊 5000 美元,100,75,231.0,0.0536,0.0495,0.0040999999999999995
以太坊 5000 美元,100,76,235.0,0.06375,0.05275,0.011000000000000003
以太坊 5000 美元,100,77,240.0,0.073,0.05500000000000001,0.017999999999999988
以太坊 5000 美元,100,78,243.0,0.08349999999999999,0.05575,0.02774999999999999
以太坊 5000 美元,100,79,243.0,0.081,0.06,0.021000000000000005
以太坊 5000 美元,100,80,243.0,0.0795,0.06,0.019500000000000003
以太坊 5000 美元,100,81,246.0,0.0935,0.08474999999999999,0.008750000000000008
以太坊 5000 美元,100,82,247.0,0.09263157894736843,0.11763157894736842,-0.024999999999999994
以太坊 5000 美元,100,83,250.0,0.1105,0.12125,-0.010749999999999996
以太坊 5000 美元,100,84,254.0,0.1355,0.153,-0.017499999999999988
以太坊 5000 美元,100,85,258.0,0.149,0.1805,-0.0315
以太坊 5000 美元,100,86,264.0,0.172,0.20925000000000002,-0.03725000000000003
以太坊 5000 美元,100,87,270.0,0.1865,0.23225,-0.04575000000000001
以太坊 5000 美元,100,88,270.0,0.20249999999999999,0.23575,-0.03325
以太坊 5000 美元,100,89,273.0,0.196,0.24,-0.043999999999999984
以太坊 5000 美元,100,90,286.0,0.209,0.244,-0.035
以太坊 5000 美元,100,91,292.0,0.21000000000000002,0.23399999999999999,-0.023999999999999966
以太坊 5000 美元,100,92,295.0,0.19,0.24100000000000002,-0.05100000000000002
以太坊 5000 美元,100,93,296.0,0.1575,0.2365,-0.07899999999999999
以太坊 5000 美元,100,94,298.0,0.1131578947368421,0.23131578947368422,-0.11815789473684213
以太坊 5000 美元,100,95,302.0,0.10400000000000001,0.23000000000000004,-0.12600000000000003
以太坊 5000 美元,100,96,302.0,0.094,0.23000000000000004,-0.13600000000000004
以太坊 5000 美元,100,97,306.0,0.08399999999999999,0.23000000000000004,-0.14600000000000005
以太坊 5000 美元,100,98,308.0,0.0675,0.23000000000000004,-0.16250000000000003
以太坊 5000 美元,100,99,312.0,0.055999999999999994,0.23000000000000004,-0.17400000000000004
特斯拉 Robotaxi,10,0,2.0,0.363,0.47124999999999995,-0.10824999999999996
特斯拉 Robotaxi,10,1,6.0,0.3645,0.46449999999999997,-0.09999999999999998
特斯拉 Robotaxi,10,2,10.0,0.3415,0.46099999999999997,-0.11949999999999994
特斯拉 Robotaxi,10,3,10.0,0.3465,0.45999999999999996,-0.11349999999999999
特斯拉 Robotaxi,10,4,10.0,0.3395,0.4539999999999999,-0.11449999999999988
特斯拉 Robotaxi,10,5,15.0,0.327,0.43599999999999994,-0.10899999999999993
特斯拉 Robotaxi,10,6,16.0,0.306,0.40375000000000005,-0.09775000000000006
特斯拉 Robotaxi,10,7,19.0,0.277,0.39,-0.11299999999999999
特斯拉 Robotaxi,10,8,25.0,0.25,0.3765,-0.1265
特斯拉 Robotaxi,10,9,31.0,0.231,0.37,-0.13899999999999998
特斯拉 Robotaxi,20,0,0.0,0.3975,0.4774999999999999,-0.0799999999999999
特斯拉 Robotaxi,20,1,2.0,0.396,0.476,-0.07999999999999996
特斯拉 Robotaxi,20,2,2.0,0.3905,0.48599999999999993,-0.09549999999999992
特斯拉 Robotaxi,20,3,2.0,0.38849999999999996,0.487,-0.09850000000000003
特斯拉 Robotaxi,20,4,3.0,0.40549999999999997,0.484,-0.07850000000000001
特斯拉 Robotaxi,20,5,3.0,0.40199999999999997,0.485,-0.08300000000000002
特斯拉 Robotaxi,20,6,3.0,0.39699999999999996,0.48599999999999993,-0.08899999999999997
特斯拉 Robotaxi,20,7,5.0,0.392,0.487,-0.09499999999999997
特斯拉 Robotaxi,20,8,13.0,0.385,0.49424999999999997,-0.10924999999999996
特斯拉 Robotaxi,20,9,15.0,0.382,0.47725,-0.09525
特斯拉 Robotaxi,20,10,19.0,0.369,0.466,-0.09700000000000003
特斯拉 Robotaxi,20,11,22.0,0.3485,0.40700000000000003,-0.05850000000000005
特斯拉 Robotaxi,20,12,27.0,0.313,0.42000000000000004,-0.10700000000000004
特斯拉 Robotaxi,20,13,28.0,0.288,0.41000000000000003,-0.12200000000000005
特斯拉 Robotaxi,20,14,28.0,0.275,0.41000000000000003,-0.135
特斯拉 Robotaxi,20,15,30.0,0.266,0.41000000000000003,-0.14400000000000002
特斯拉 Robotaxi,20,16,31.0,0.2565,0.41000000000000003,-0.15350000000000003
特斯拉 Robotaxi,20,17,31.0,0.24900000000000003,0.41000000000000003,-0.161
特斯拉 Robotaxi,20,18,31.0,0.2395,0.41000000000000003,-0.17050000000000004
特斯拉 Robotaxi,20,19,37.0,0.236,0.34950000000000003,-0.11350000000000005
特斯拉 Robotaxi,50,0,1.0,0.40499999999999997,0.489,-0.08400000000000002
特斯拉 Robotaxi,50,1,2.0,0.399,0.481,-0.08199999999999996
特斯拉 Robotaxi,50,2,2.0,0.4095,0.5,-0.09050000000000002
特斯拉 Robotaxi,50,3,2.0,0.40750000000000003,0.5,-0.09249999999999997
特斯拉 Robotaxi,50,4,2.0,0.40449999999999997,0.5,-0.09550000000000003
特斯拉 Robotaxi,50,5,3.0,0.402,0.5,-0.09799999999999998
特斯拉 Robotaxi,50,6,7.0,0.39649999999999996,0.5,-0.10350000000000004
特斯拉 Robotaxi,50,7,15.0,0.3885,0.5,-0.11149999999999999
特斯拉 Robotaxi,50,8,19.0,0.384,0.49775,-0.11375000000000002
特斯拉 Robotaxi,50,9,26.0,0.379,0.4534999999999999,-0.0744999999999999
特斯拉 Robotaxi,50,10,29.0,0.3525,0.4574999999999999,-0.10499999999999993
特斯拉 Robotaxi,50,11,35.0,0.3265,0.41025,-0.08374999999999999
特斯拉 Robotaxi,50,12,40.0,0.313,0.475,-0.16199999999999998
特斯拉 Robotaxi,50,13,43.0,0.31,0.477,-0.16699999999999998
特斯拉 Robotaxi,50,14,47.0,0.3115,0.46075,-0.14925
特斯拉 Robotaxi,50,15,48.0,0.309,0.46499999999999997,-0.15599999999999997
特斯拉 Robotaxi,50,16,48.0,0.304,0.46125,-0.15725
特斯拉 Robotaxi,50,17,49.0,0.298,0.42600000000000005,-0.12800000000000006
特斯拉 Robotaxi,50,18,54.0,0.2789473684210526,0.4152631578947369,-0.13631578947368428
特斯拉 Robotaxi,50,19,58.0,0.257,0.429,-0.172
特斯拉 Robotaxi,50,20,58.0,0.2595,0.42000000000000004,-0.16050000000000003
特斯拉 Robotaxi,50,21,58.0,0.254,0.42000000000000004,-0.16600000000000004
特斯拉 Robotaxi,50,22,59.0,0.2455,0.42000000000000004,-0.17450000000000004
特斯拉 Robotaxi,50,23,60.0,0.23736842105263156,0.42,-0.18263157894736842
特斯拉 Robotaxi,50,24,62.0,0.22749999999999998,0.42000000000000004,-0.19250000000000006
特斯拉 Robotaxi,50,25,64.0,0.2245,0.42000000000000004,-0.19550000000000003
特斯拉 Robotaxi,50,26,65.0,0.22350000000000003,0.40199999999999997,-0.17849999999999994
特斯拉 Robotaxi,50,27,69.0,0.22263157894736843,0.30315789473684207,-0.08052631578947364
特斯拉 Robotaxi,50,28,72.0,0.2165,0.29925,-0.08275000000000002
特斯拉 Robotaxi,50,29,74.0,0.207,0.29225,-0.08525000000000002
特斯拉 Robotaxi,50,30,75.0,0.1985,0.28750000000000003,-0.08900000000000002
特斯拉 Robotaxi,50,31,76.0,0.19,0.274,-0.08400000000000002
特斯拉 Robotaxi,50,32,78.0,0.1865,0.24299999999999997,-0.05649999999999997
特斯拉 Robotaxi,50,33,82.0,0.176,0.251,-0.07500000000000001
特斯拉 Robotaxi,50,34,85.0,0.16421052631578947,0.23973684210526314,-0.07552631578947366
特斯拉 Robotaxi,50,35,88.0,0.1555,0.2365,-0.08099999999999999
特斯拉 Robotaxi,50,36,88.0,0.152,0.23499999999999996,-0.08299999999999996
特斯拉 Robotaxi,50,37,91.0,0.14550000000000002,0.23000000000000004,-0.08450000000000002
特斯拉 Robotaxi,50,38,94.0,0.1305,0.23000000000000004,-0.09950000000000003
特斯拉 Robotaxi,50,39,96.0,0.124,0.23000000000000004,-0.10600000000000004
特斯拉 Robotaxi,50,40,99.0,0.11950000000000001,0.23000000000000004,-0.11050000000000003
特斯拉 Robotaxi,50,41,104.0,0.11750000000000001,0.219,-0.10149999999999999
特斯拉 Robotaxi,50,42,111.0,0.11399999999999999,0.1165,-0.002500000000000016
特斯拉 Robotaxi,50,43,112.0,0.11000000000000001,0.11000000000000001,0.0
特斯拉 Robotaxi,50,44,116.0,0.10263157894736842,0.11421052631578947,-0.01157894736842105
特斯拉 Robotaxi,50,45,118.0,0.101,0.11000000000000001,-0.009000000000000008
特斯拉 Robotaxi,50,46,125.0,0.11725,0.11000000000000001,0.007249999999999979
特斯拉 Robotaxi,50,47,133.0,0.1075,0.1125,-0.0050000000000000044
特斯拉 Robotaxi,50,48,140.0,0.11000000000000001,0.11699999999999999,-0.0069999999999999785
特斯拉 Robotaxi,50,49,149.0,0.1105,0.175,-0.06449999999999999
特斯拉 Robotaxi,100,0,0.0,0.39,0.489,-0.09899999999999998
特斯拉 Robotaxi,100,1,2.0,0.3815,0.5,-0.1185
特斯拉 Robotaxi,100,2,9.0,0.39,0.496,-0.10599999999999998
特斯拉 Robotaxi,100,3,13.0,0.3795,0.46825,-0.08875
特斯拉 Robotaxi,100,4,15.0,0.368,0.4699999999999999,-0.10199999999999992
特斯拉 Robotaxi,100,5,18.0,0.357,0.47424999999999995,-0.11724999999999997
特斯拉 Robotaxi,100,6,18.0,0.35350000000000004,0.475,-0.12149999999999994
特斯拉 Robotaxi,100,7,21.0,0.3465,0.472,-0.1255
特斯拉 Robotaxi,100,8,25.0,0.3305,0.462,-0.1315
特斯拉 Robotaxi,100,9,28.0,0.3285,0.4699999999999999,-0.1414999999999999
特斯拉 Robotaxi,100,10,32.0,0.3415,0.4565,-0.11499999999999999
特斯拉 Robotaxi,100,11,36.0,0.3445,0.46475,-0.12025000000000002
特斯拉 Robotaxi,100,12,37.0,0.34700000000000003,0.48425,-0.13724999999999998
特斯拉 Robotaxi,100,13,46.0,0.3565,0.47050000000000003,-0.11400000000000005
特斯拉 Robotaxi,100,14,49.0,0.369,0.449,-0.08000000000000002
特斯拉 Robotaxi,100,15,51.0,0.333,0.41500000000000004,-0.08200000000000002
特斯拉 Robotaxi,100,16,55.0,0.303,0.39,-0.08700000000000002
特斯拉 Robotaxi,100,17,57.0,0.253,0.39,-0.137
特斯拉 Robotaxi,100,18,58.0,0.225,0.39,-0.165
特斯拉 Robotaxi,100,19,58.0,0.2185,0.39,-0.1715
特斯拉 Robotaxi,100,20,58.0,0.201,0.39,-0.189
特斯拉 Robotaxi,100,21,58.0,0.1895,0.39,-0.2005
特斯拉 Robotaxi,100,22,59.0,0.187,0.39,-0.203
特斯拉 Robotaxi,100,23,61.0,0.1845,0.39,-0.20550000000000002
特斯拉 Robotaxi,100,24,66.0,0.1795,0.257,-0.07750000000000001
特斯拉 Robotaxi,100,25,66.0,0.1785,0.2,-0.02150000000000002
特斯拉 Robotaxi,100,26,66.0,0.16999999999999998,0.2,-0.030000000000000027
特斯拉 Robotaxi,100,27,68.0,0.16,0.225,-0.065
特斯拉 Robotaxi,100,28,71.0,0.159,0.225,-0.066
特斯拉 Robotaxi,100,29,80.0,0.16699999999999998,0.22025,-0.05325000000000002
特斯拉 Robotaxi,100,30,82.0,0.162,0.221,-0.059
特斯拉 Robotaxi,100,31,84.0,0.17250000000000001,0.22624999999999998,-0.053749999999999964
特斯拉 Robotaxi,100,32,84.0,0.1765,0.23399999999999999,-0.057499999999999996
特斯拉 Robotaxi,100,33,87.0,0.17157894736842105,0.22499999999999998,-0.053421052631578925
特斯拉 Robotaxi,100,34,89.0,0.17350000000000002,0.2355,-0.06199999999999997
特斯拉 Robotaxi,100,35,95.0,0.1745,0.23575,-0.06125
特斯拉 Robotaxi,100,36,98.0,0.1875,0.23499999999999996,-0.04749999999999996
特斯拉 Robotaxi,100,37,102.0,0.1955,0.23700000000000002,-0.04150000000000001
特斯拉 Robotaxi,100,38,121.0,0.18625,0.30175,-0.11550000000000002
特斯拉 Robotaxi,100,39,126.0,0.17975,0.25,-0.07025
特斯拉 Robotaxi,100,40,127.0,0.18225,0.24900000000000003,-0.06675000000000003
特斯拉 Robotaxi,100,41,128.0,0.1835,0.24500000000000002,-0.06150000000000003
特斯拉 Robotaxi,100,42,129.0,0.183,0.25175000000000003,-0.06875000000000003
特斯拉 Robotaxi,100,43,134.0,0.174,0.2565,-0.08250000000000002
特斯拉 Robotaxi,100,44,134.0,0.17526315789473684,0.25157894736842107,-0.07631578947368423
特斯拉 Robotaxi,100,45,137.0,0.17850000000000002,0.25,-0.07149999999999998
特斯拉 Robotaxi,100,46,138.0,0.178,0.25275,-0.07474999999999998
特斯拉 Robotaxi,100,47,143.0,0.1795,0.255,-0.07550000000000001
特斯拉 Robotaxi,100,48,146.0,0.178,0.26,-0.08200000000000002
特斯拉 Robotaxi,100,49,152.0,0.1825,0.26425,-0.08174999999999999
特斯拉 Robotaxi,100,50,155.0,0.182,0.252,-0.07
特斯拉 Robotaxi,100,51,155.0,0.174,0.2605,-0.08650000000000002
特斯拉 Robotaxi,100,52,157.0,0.176,0.26375000000000004,-0.08775000000000005
特斯拉 Robotaxi,100,53,170.0,0.176,0.2645,-0.08850000000000002
特斯拉 Robotaxi,100,54,172.0,0.17250000000000001,0.26175000000000004,-0.08925000000000002
特斯拉 Robotaxi,100,55,174.0,0.1655,0.26475,-0.09924999999999998
特斯拉 Robotaxi,100,56,183.0,0.1645,0.265,-0.1005
特斯拉 Robotaxi,100,57,185.0,0.163,0.26075,-0.09774999999999998
特斯拉 Robotaxi,100,58,186.0,0.157,0.26325000000000004,-0.10625000000000004
特斯拉 Robotaxi,100,59,187.0,0.15,0.263,-0.11300000000000002
特斯拉 Robotaxi,100,60,195.0,0.14578947368421052,0.2657894736842106,-0.12000000000000005
特斯拉 Robotaxi,100,61,202.0,0.14350000000000002,0.27,-0.1265
特斯拉 Robotaxi,100,62,204.0,0.1345,0.27,-0.1355
特斯拉 Robotaxi,100,63,204.0,0.131,0.27,-0.139
特斯拉 Robotaxi,100,64,215.0,0.1295,0.27,-0.1405
特斯拉 Robotaxi,100,65,218.0,0.127,0.27,-0.14300000000000002
特斯拉 Robotaxi,100,66,220.0,0.12388888888888888,0.27,-0.14611111111111114
特斯拉 Robotaxi,100,67,224.0,0.125,0.27,-0.14500000000000002
特斯拉 Robotaxi,100,68,229.0,0.121,0.1125,0.008499999999999994
特斯拉 Robotaxi,100,69,230.0,0.11700000000000002,0.06,0.05700000000000002
特斯拉 Robotaxi,100,70,236.0,0.10550000000000001,0.06,0.04550000000000001
特斯拉 Robotaxi,100,71,238.0,0.10250000000000001,0.06,0.04250000000000001
特斯拉 Robotaxi,100,72,239.0,0.0985,0.06,0.038500000000000006
