series,config,market,tick,frac,yes_mid,truth,cum_trades,trade_progress
50轮,c3_ethereum_t50_s0,ethereum,36,0.7346938775510204,0.175,0.0,108.0,0.7248322147651006
50轮,c3_ethereum_t50_s0,ethereum,37,0.7551020408163265,0.18,0.0,110.0,0.738255033557047
50轮,c3_ethereum_t50_s0,ethereum,38,0.7755102040816326,0.18,0.0,112.0,0.7516778523489933
50轮,c3_ethereum_t50_s0,ethereum,39,0.7959183673469388,0.18,0.0,114.0,0.7651006711409396
50轮,c3_ethereum_t50_s0,ethereum,40,0.8163265306122449,0.18,0.0,117.0,0.785234899328859
50轮,c3_ethereum_t50_s0,ethereum,41,0.8367346938775511,0.18,0.0,120.0,0.8053691275167785
50轮,c3_ethereum_t50_s0,ethereum,42,0.8571428571428571,0.18,0.0,122.0,0.8187919463087249
50轮,c3_ethereum_t50_s0,ethereum,43,0.8775510204081632,0.14,0.0,134.0,0.8993288590604027
50轮,c3_ethereum_t50_s0,ethereum,44,0.8979591836734694,0.1,0.0,137.0,0.9194630872483222
50轮,c3_ethereum_t50_s0,ethereum,45,0.9183673469387755,0.1,0.0,139.0,0.9328859060402684
50轮,c3_ethereum_t50_s0,ethereum,46,0.9387755102040817,0.09,0.0,139.0,0.9328859060402684
50轮,c3_ethereum_t50_s0,ethereum,47,0.9591836734693877,0.08,0.0,144.0,0.9664429530201343
50轮,c3_ethereum_t50_s0,ethereum,48,0.9795918367346939,0.07,0.0,148.0,0.9932885906040269
50轮,c3_ethereum_t50_s0,ethereum,49,1.0,0.07,0.0,149.0,1.0
100轮,c3_ethereum_t100_s0,ethereum,0,0.0,0.5800000000000001,0.0,0.0,0.0
100轮,c3_ethereum_t100_s0,ethereum,0,0.0,0.5800000000000001,0.0,1.0,0.003205128205128205
100轮,c3_ethereum_t100_s0,ethereum,1,0.010101010101010102,0.5800000000000001,0.0,3.0,0.009615384615384616
100轮,c3_ethereum_t100_s0,ethereum,2,0.020202020202020204,0.585,0.0,3.0,0.009615384615384616
