market,cluster,pnl
robotaxi,Archetype-C4,2.75
robotaxi,Archetype-C4,0.0
robotaxi,Archetype-C4,0.8823051948052125
robotaxi,Archetype-C0,-0.8268358395989992
robotaxi,Archetype-C1,-3.995622623085609
robotaxi,Archetype-C5,-1.6000000000000227
robotaxi,Archetype-C2,-0.14090909090909065
robotaxi,Archetype-C1,-0.030000000000001137
robotaxi,Archetype-C0,-9.025739423376763
robotaxi,Archetype-C3,-0.20830721003134833
robotaxi,Archetype-C5,-0.5651595744680851
robotaxi,Archetype-C5,-0.7973627249943149
robotaxi,Archetype-C2,0.20000000000000107
robotaxi,Archetype-C1,-1.7257235960144897
robotaxi,Archetype-C0,0.0
robotaxi,Archetype-C1,0.057500000000000995
robotaxi,Archetype-C0,-8.09482758620652
robotaxi,Archetype-C1,-1.0
robotaxi,Archetype-C4,-2.961282516636402
robotaxi,Archetype-C1,-0.6815675552518314
robotaxi,Archetype-C1,-1.6350591950961189
robotaxi,Archetype-C4,-6.20331280788173
robotaxi,Archetype-C0,1.9079944107575102
robotaxi,Archetype-C1,6.042040816326505
robotaxi,Archetype-C4,-7.815271311866837
robotaxi,Archetype-C3,0.48499999999999943
robotaxi,Archetype-C0,1.2076229508196707
robotaxi,Archetype-C0,0.0
robotaxi,Archetype-C1,0.33757062146892736
robotaxi,Archetype-C4,-10.604678873812276
robotaxi,Archetype-C1,-0.0625
robotaxi,Archetype-C2,0.7255172413793076
robotaxi,Archetype-C4,0.19000000000000128
robotaxi,Archetype-C0,0.04999999999999716
robotaxi,Archetype-C2,0.0
robotaxi,Archetype-C3,0.0
robotaxi,Archetype-C3,0.0
robotaxi,Archetype-C0,0.39087499999993724
robotaxi,Archetype-C4,-0.3278688524590052
robotaxi,Archetype-C0,2.5423728813558455
robotaxi,Archetype-C3,-0.12496590909090877
robotaxi,Archetype-C1,-7.3688265306122105
robotaxi,Archetype-C4,0.8835748792270124
robotaxi,Archetype-C0,46.212764670296565
robotaxi,Archetype-C4,1.8297413793103487
robotaxi,Archetype-C1,-1.2391791979950995
robotaxi,Archetype-C3,0.03533251231527146
robotaxi,Archetype-C3,-0.8771929824561369
robotaxi,Archetype-C3,1.1785714285714306
robotaxi,Archetype-C3,-0.20102974828375153
robotaxi,Archetype-C4,0.7743961352657038
robotaxi,Archetype-C4,-1.43503943430116
robotaxi,Archetype-C1,0.2067611336032371
robotaxi,Archetype-C4,0.22222222222221433
robotaxi,Archetype-C1,-12.530304771856436
robotaxi,Archetype-C4,0.0
robotaxi,Archetype-C4,0.5008633980881996
robotaxi,Archetype-C0,0.3499999999999943
robotaxi,Archetype-C0,0.32456140350876694
robotaxi,Archetype-C0,-0.34824468085106197
robotaxi,Archetype-C0,56.120489929860014
robotaxi,Archetype-C1,0.004254096356135051
robotaxi,Archetype-C4,2.953991130820441
robotaxi,Archetype-C0,0.5999999999999943
robotaxi,Archetype-C1,-1.937931034482773
robotaxi,Archetype-C5,8.35714285714289
robotaxi,Archetype-C2,0.5182957393483676
robotaxi,Archetype-C1,0.350877192982459
robotaxi,Archetype-C0,-30.15898187380435
robotaxi,Archetype-C3,0.2536783769769251
robotaxi,Archetype-C5,0.11634199134199008
robotaxi,Archetype-C5,2.242857142857133
robotaxi,Archetype-C2,-0.8161921353907413
robotaxi,Archetype-C1,-0.3180624891384447
robotaxi,Archetype-C0,36.56519636700068
robotaxi,Archetype-C1,0.05938773985321788
robotaxi,Archetype-C0,41.97473404255197
robotaxi,Archetype-C1,11.9841179807147
robotaxi,Archetype-C4,3.1578947368420813
robotaxi,Archetype-C1,3.0
robotaxi,Archetype-C1,8.85714285714289
robotaxi,Archetype-C4,3.0
robotaxi,Archetype-C3,-1.2339693463908556
robotaxi,Archetype-C3,0.2631578947368425
robotaxi,Archetype-C3,-5.5027173913043725
robotaxi,Archetype-C3,-0.3000000000000007
robotaxi,Archetype-C1,4.5
robotaxi,Archetype-C3,-1.703637976929901
robotaxi,Archetype-C0,0.17241379310344485
robotaxi,Archetype-C0,1.0263157894736707
robotaxi,Archetype-C4,2.209269277787911
robotaxi,Archetype-C0,0.07499999999999929
robotaxi,Archetype-C4,3.631578947368382
robotaxi,Archetype-C0,3.0
robotaxi,Archetype-C1,-11.630967791858893
robotaxi,Archetype-C2,0.049999999999998934
robotaxi,Archetype-C0,4.261904761904816
robotaxi,Archetype-C2,0.7911481289430462
robotaxi,Archetype-C1,-5.952036896115374
robotaxi,Archetype-C4,1.2157225225705588
robotaxi,Archetype-C2,0.03448275862069039
robotaxi,Archetype-C0,2.0975609756097526
