market,notional
ethereum,147.16981132075472
ethereum,20.0
ethereum,3.0
ethereum,1.0
ethereum,500.0
ethereum,300.0
ethereum,200.0
ethereum,40.0
ethereum,5.0
ethereum,150.0
ethereum,5.0
ethereum,20.0
ethereum,1.0
ethereum,30.0
ethereum,10.0
ethereum,3.52
ethereum,119.97180799999998
ethereum,285.74305306122454
ethereum,200.0
ethereum,17.16
ethereum,71.68
ethereum,0.7307742792538157
ethereum,106.90922572074618
ethereum,8.0
ethereum,6.698899000000001
ethereum,5.0
ethereum,39.827000000000005
ethereum,45.8015
ethereum,16.01321739130433
ethereum,5.0
ethereum,5.0
ethereum,0.7999999999999995
ethereum,11.6
ethereum,25.762782608695666
ethereum,11.6
ethereum,57.4955
ethereum,342.5045
ethereum,157.49550000000002
ethereum,2.9499999999999997
ethereum,1180.0
ethereum,8.85
ethereum,89.99999999999994
ethereum,1.18
ethereum,2.4
ethereum,12.6
ethereum,4.237217391304332
ethereum,5.0
ethereum,4.0
ethereum,5.0
ethereum,50.0
ethereum,2.0
ethereum,39.954499999999996
ethereum,38.980000000000004
ethereum,38.005500000000005
ethereum,59.0
ethereum,29.5
ethereum,5.8999999999999995
ethereum,3.54
ethereum,5000.0
ethereum,118.0
ethereum,2.9499999999999997
ethereum,5.8999999999999995
ethereum,2.0
ethereum,50.0
ethereum,9.574468085106384
ethereum,8.85
ethereum,4.090909090909091
ethereum,147.5
ethereum,1.8
ethereum,9.574468085106384
ethereum,6.8478260869565215
ethereum,29.5
ethereum,899.9999999999999
ethereum,1.18
ethereum,5.8999999999999995
ethereum,5.8999999999999995
ethereum,59.0
ethereum,2.0
ethereum,1.9565217391304348
ethereum,2.9499999999999997
ethereum,59.0
ethereum,20.0
ethereum,9.325482999999998
ethereum,200.0
ethereum,50.0
ethereum,30.000000000000004
ethereum,9.44
ethereum,2.9499999999999997
ethereum,1.18
ethereum,20.0
ethereum,2.0
ethereum,35.4
ethereum,58.47
ethereum,41.53000000000001
ethereum,29.5
ethereum,59.0
ethereum,5.8999999999999995
ethereum,59.0
ethereum,118.0
ethereum,2.0
ethereum,6.6
ethereum,5.8999999999999995
ethereum,2.04
ethereum,2.9499999999999997
ethereum,3.4
ethereum,84.60000000000001
ethereum,6.0
ethereum,118.0
ethereum,118.0
ethereum,1.0
ethereum,47.199999999999996
ethereum,59.0
ethereum,2.0
ethereum,17.6
ethereum,29.5
ethereum,2.0
ethereum,47.80000000000001
ethereum,100.0
ethereum,300.0
ethereum,15.000000000000002
ethereum,50.0
ethereum,200.0
ethereum,1.18
ethereum,0.1799999999999999
ethereum,50.0
ethereum,5.8999999999999995
ethereum,2950.0
ethereum,48.88888888888889
ethereum,20.0
ethereum,10.0
ethereum,30.000000000000004
ethereum,177.0
ethereum,60.00000000000001
ethereum,5.0
ethereum,81.0
ethereum,2.0
ethereum,40.0
ethereum,18.16
ethereum,200.0
ethereum,5.8999999999999995
ethereum,0.46811111111110654
