base,rounds,frac,yes_mid
robotaxi,100,0.7777777777777778,0.42333333333333334
robotaxi,100,0.787878787878788,0.42333333333333334
robotaxi,100,0.797979797979798,0.42333333333333334
robotaxi,100,0.8080808080808082,0.42333333333333334
robotaxi,100,0.8181818181818182,0.42333333333333334
robotaxi,100,0.8282828282828284,0.41500000000000004
robotaxi,100,0.8383838383838385,0.4066666666666667
robotaxi,100,0.8484848484848485,0.4066666666666667
robotaxi,100,0.8585858585858587,0.4066666666666667
robotaxi,100,0.8686868686868687,0.4066666666666667
robotaxi,100,0.8787878787878789,0.4066666666666667
robotaxi,100,0.888888888888889,0.4066666666666667
robotaxi,100,0.8989898989898991,0.4066666666666667
robotaxi,100,0.9090909090909092,0.41
robotaxi,100,0.9191919191919192,0.39000000000000007
robotaxi,100,0.9292929292929294,0.38833333333333336
robotaxi,100,0.9393939393939394,0.38833333333333336
robotaxi,100,0.9494949494949496,0.39666666666666667
robotaxi,100,0.9595959595959597,0.3866666666666667
robotaxi,100,0.9696969696969697,0.38999999999999996
robotaxi,100,0.9797979797979799,0.3866666666666667
robotaxi,100,0.98989898989899,0.3966666666666667
robotaxi,100,1.0,0.38833333333333336
ethereum,10,0.0,0.565
ethereum,10,0.1111111111111111,0.58
ethereum,10,0.2222222222222222,0.5533333333333333
ethereum,10,0.3333333333333333,0.5683333333333334
ethereum,10,0.4444444444444444,0.5716666666666667
ethereum,10,0.5555555555555556,0.5766666666666667
ethereum,10,0.6666666666666666,0.5800000000000001
ethereum,10,0.7777777777777777,0.585
ethereum,10,0.8888888888888888,0.5816666666666667
ethereum,10,1.0,0.5833333333333334
ethereum,20,0.0,0.5716666666666667
ethereum,20,0.05263157894736842,0.5850000000000001
ethereum,20,0.10526315789473684,0.58
ethereum,20,0.15789473684210525,0.5716666666666667
ethereum,20,0.21052631578947367,0.5750000000000001
ethereum,20,0.2631578947368421,0.5716666666666667
ethereum,20,0.3157894736842105,0.5683333333333334
ethereum,20,0.3684210526315789,0.5683333333333334
ethereum,20,0.42105263157894735,0.5683333333333334
ethereum,20,0.47368421052631576,0.5683333333333334
ethereum,20,0.5263157894736842,0.5683333333333334
ethereum,20,0.5789473684210527,0.5650000000000001
ethereum,20,0.631578947368421,0.5683333333333334
ethereum,20,0.6842105263157894,0.5650000000000001
ethereum,20,0.7368421052631579,0.5650000000000001
ethereum,20,0.7894736842105263,0.5616666666666666
ethereum,20,0.8421052631578947,0.5583333333333333
ethereum,20,0.894736842105263,0.5583333333333333
ethereum,20,0.9473684210526315,0.545
ethereum,20,1.0,0.545
ethereum,50,0.0,0.565
ethereum,50,0.02040816326530612,0.5816666666666667
ethereum,50,0.04081632653061224,0.5750000000000001
ethereum,50,0.061224489795918366,0.5783333333333333
ethereum,50,0.08163265306122448,0.5783333333333333
ethereum,50,0.1020408163265306,0.5716666666666667
ethereum,50,0.12244897959183673,0.5650000000000001
ethereum,50,0.14285714285714285,0.5650000000000001
ethereum,50,0.16326530612244897,0.5650000000000001
ethereum,50,0.18367346938775508,0.5650000000000001
ethereum,50,0.2040816326530612,0.5616666666666666
ethereum,50,0.22448979591836732,0.5616666666666666
ethereum,50,0.24489795918367346,0.5616666666666666
ethereum,50,0.26530612244897955,0.5616666666666666
ethereum,50,0.2857142857142857,0.5666666666666668
ethereum,50,0.3061224489795918,0.5716666666666667
ethereum,50,0.32653061224489793,0.5683333333333334
ethereum,50,0.3469387755102041,0.5683333333333334
ethereum,50,0.36734693877551017,0.5683333333333334
ethereum,50,0.3877551020408163,0.5683333333333334
ethereum,50,0.4081632653061224,0.5683333333333334
ethereum,50,0.42857142857142855,0.5683333333333334
ethereum,50,0.44897959183673464,0.5683333333333334
ethereum,50,0.4693877551020408,0.5683333333333334
ethereum,50,0.4897959183673469,0.5683333333333334
ethereum,50,0.5102040816326531,0.5683333333333334
ethereum,50,0.5306122448979591,0.5683333333333334
ethereum,50,0.5510204081632653,0.565
ethereum,50,0.5714285714285714,0.565
ethereum,50,0.5918367346938775,0.5616666666666666
ethereum,50,0.6122448979591836,0.5616666666666666
ethereum,50,0.6326530612244897,0.5616666666666666
ethereum,50,0.6530612244897959,0.5616666666666666
ethereum,50,0.673469387755102,0.5616666666666666
ethereum,50,0.6938775510204082,0.5616666666666666
ethereum,50,0.7142857142857142,0.5616666666666666
ethereum,50,0.7346938775510203,0.555
ethereum,50,0.7551020408163265,0.5516666666666667
ethereum,50,0.7755102040816326,0.5516666666666667
ethereum,50,0.7959183673469387,0.5516666666666667
ethereum,50,0.8163265306122448,0.5499999999999999
ethereum,50,0.836734693877551,0.5466666666666667
ethereum,50,0.8571428571428571,0.5366666666666667
ethereum,50,0.8775510204081632,0.535
ethereum,50,0.8979591836734693,0.5133333333333333
ethereum,50,0.9183673469387754,0.5116666666666666
ethereum,50,0.9387755102040816,0.5083333333333334
ethereum,50,0.9591836734693877,0.5066666666666667
ethereum,50,0.9795918367346939,0.49666666666666665
ethereum,50,1.0,0.3666666666666667
ethereum,100,0.0,0.565
ethereum,100,0.010101010101010102,0.59
ethereum,100,0.020202020202020204,0.5916666666666667
ethereum,100,0.030303030303030304,0.5916666666666667
ethereum,100,0.04040404040404041,0.5816666666666667
ethereum,100,0.05050505050505051,0.5833333333333334
ethereum,100,0.06060606060606061,0.585
ethereum,100,0.07070707070707072,0.5816666666666667
ethereum,100,0.08080808080808081,0.5683333333333334
ethereum,100,0.09090909090909091,0.5633333333333334
ethereum,100,0.10101010101010102,0.5666666666666667
ethereum,100,0.11111111111111112,0.5700000000000001
ethereum,100,0.12121212121212122,0.5716666666666667
ethereum,100,0.13131313131313133,0.5683333333333332
ethereum,100,0.14141414141414144,0.5683333333333332
ethereum,100,0.15151515151515152,0.5599999999999999
ethereum,100,0.16161616161616163,0.5583333333333333
ethereum,100,0.17171717171717174,0.5599999999999999
