slug,panel,series,progress,yes_price,truth
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.0666443339341153,0.46,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.06712558859332093,0.49,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.06724826134958904,0.46,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.06729544317892293,0.4985044865403789,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.06732375227652326,0.46,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.06737093410585715,0.48,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.06741339775225764,0.48,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.06845139799760316,0.4799999827199989,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.06850329800987044,0.46,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.06874864352240664,0.47999993087998233,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.06889962537627509,0.47999982719988943,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.0691449708888113,0.48787786140365713,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.0693148254744133,0.5,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.06938559821841413,0.49,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.0694374982306814,0.49,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.06961207099921678,0.46,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.06996593471922094,0.47,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07000839836562144,0.47,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07006029837788871,0.47,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07051324393949403,0.4799999827199989,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07095203495229917,0.48757235347135813,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.071107734989101,0.48999999387499976,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07130589867230332,0.42363597793805685,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07141913506270466,0.39032961961895973,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07169750785577458,0.39,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07169750785577458,0.4,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07170222603870798,0.38,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07230143527124834,0.38,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07668934539929982,0.37141425,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07671293631396676,0.36,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07683089088730148,0.3996153846153846,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07726968190010663,0.41,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07730742736357374,0.4127845255137391,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.0774112273881083,0.41,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07867570041425646,0.4051854208996989,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07900597321959367,0.419999970715593,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07902012776839383,0.41999999676923067,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.0794494824153322,0.35875,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.07946363696413238,0.36,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.0800392552820058,0.44,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.08011002802600663,0.47,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.08076585545374765,0.43,1.0
will-trump-deploy-national-guard-in-dc-by-monday,real,raw_trade,0.0810819737102847,0.45805003904268937,1.0
